osm_node,node_pair_id,track_node,notes
node/1003344785,NDI1OTE3OTI4MDMxMTY4MDIyMw==,7445e14e-aa1f-4c10-9b46-c07c7fd6f843,SAO/1
node/1003344788,NDI1OTE3OTI3ODUzMjQ0ODgwOTI=,53c76730-7f61-4e8f-a727-91c92e8e9a63,SAI/0
node/1003344792,NTMyNDQ4ODA5MzQyNTkxNzkyNzk=,60e5d8fb-bfac-44b8-8db1-1c96fa6fe966,SAI/1
node/1003344801,MzExNjgwMjIzNDI1OTE3OTI4MQ==,5da1fd82-0358-490b-9404-a831668ee007,SAO/0
node/1014221008,MzExNjgwMjE0Nzc1NDQwNDM0,d78d9072-d538-486a-bb31-7643298e31aa,TSO/0
node/1014221011,NDI0OTI4Mjc0MDMxMTY4MDIxNA==,91ac61ca-5a15-459f-8e73-49e030d1f394,TSO/1
node/1014221012,NDI0OTI4MjYxMzUzMjQ1MjUyNjg=,7530206f-8fa5-43b0-ba69-af95b9d224f9,TSI/0
node/1014221014,NTMyNDUyNTI2ODQyNDkyODI2NTg=,de632b8f-fe2c-46af-b269-75c2529f3bcd,TSI/1
node/1014224816,NTMyNDUxOTY2MzExNzg3MjI1MDQ1,bd1d0e94-2e53-46de-b131-ce5ca1454541,NWI/1
node/1014224818,NjY5NjY1NzA3ODExNzg3MjI1MDQ0,7c628847-ef69-4698-baaf-1f6dbdf0c7aa,NWO/1
node/1014224820,NDI0OTI4MjkwOTExNzg3MjI1MDQ2,03e873ae-c8cc-41cd-8980-c21a07e43109,NWI/0
node/1014224825,MTE3ODcyMjUwNDM0MjQ5MjgyODQy,f5fa7d3e-f102-4ffe-ae91-bae9fe6a3400,NWO/0
node/1014228107,NDMyMDI3MDY2MzExNjgwMjEx,d89295c8-b644-45d4-9e22-e9b96ccf2f98,EDO/1
node/1014228109,NTMyNDU0NTQxMTQyNTkxMjY1OTc=,666b996c-0314-4bff-a3c4-1f7e1e668363,EDI/1
node/1014228126,MzExNjgwMjExMjU3NTExMTY=,a0af25d1-3800-4141-98af-f22f00744e54,EDO/0
node/1014228147,NDI1OTEyNjU5ODUzMjQ1NDU0MTE=,edc37fed-4221-4019-9c17-d1452d4451ae,EDI/0
node/1014228658,NDI1OTEyNjY0MzUzMjQ1NTEwMjc=,31246103-14c6-4bc1-857e-fe1552111896,ROI/0
node/1014228666,NTMyNDU1MTAyNzQyNTkxMjY2NDI=,5e31cf82-269d-4e61-80b8-75b72cf27181,ROI/1
node/1014230395,MTA4MjUxMDg0MDIxMDgyNTEwODM5Nw==,2ff36820-0c81-4e30-b87e-b844ce902d5a,MTI/0
node/1014230405,NDI1OTEyNjY2OTUzMjQ1Njg2Nzc=,d6639686-91d9-4e20-9d57-fe702896e119,PTI/0
node/1014230407,MTA4MjUxMDgzOTYxMDgyNTEwODM5NA==,fb554a4b-8fc9-4021-8799-2e8c2496fa8c,MTI/1
node/1014230408,NTMyNDU2ODY3NzUxNTM1MjgyMjU=,47bf97b5-6519-49b0-853a-a637afeaa945,PTI/1
node/1014232550,NTMyNDU4MTEyODQyNTkxMjY5OTg=,ceb90db1-954c-447a-b230-c5074f7bc1ab,JYI/1
node/1014232556,NDI1OTEyNjk5OTUzMjQ1ODExMjg=,6ee794c9-cda6-4288-8465-5d1d353ff43d,JYI/0
node/1014232572,NTMyNDU4MTEyNzY2MTkzNzYyMw==,28523f2b-9eaf-4f7f-86b5-a84987087519,JYO/0
node/1014232574,MjU3NTEwODgxNjcxNDY4OTI2,3cee0d39-6393-4078-a26a-1d8742de76a3,NAO/0
node/1014232577,MjU3NTExMDQyNzIwMjUwNzk4,c49ef8dc-cbef-4ea6-846b-5e5e4b3e25e9,NAO/1
node/1014232585,NDI1OTEyNzAyNjUzMjQ1OTA1Mjc=,3f944fa8-222b-441c-a9dc-eaf953be2643,NAI/0
node/1014232591,NTMyNDU5MDUyNzQyNTkxMjcwMjU=,fca36c29-0a30-4d1b-99cc-c27381cb8870,NAI/1
node/1014232593,MzA2NjI0NzM0NzUzMjQ1ODExMjc=,03c7ba10-d62b-4351-8984-0d8b49365900,JYO/1
node/1014235603,Mzk1NTk1OTgwNDc1Njk0NDUwMjQ=,c653e007-3ede-4c55-8804-d306e880283f,STO/0
node/1014235603,OTI5NzQ2NDcwNjc1Njk0NDUwMjU=,e3a4688b-af00-47a1-8326-617120e6bc5e,STS/0
node/1014235606,Mzk1NTk1OTgwNTc1Njk0NDYyNTI=,2cd5e7a0-c4e0-47c6-9354-683205e96f73,STI/1
node/1014235608,NzU2OTQ0NTAyNjM5NTU5NTk4MDU=,e49334a6-1f48-47b9-ac46-4544644ef6b4,STI/0
node/1014238204,MjUzMjU4NDEyMzgyOTE5NTU1,716fd84c-ee5d-4806-a2ec-22e4c857b207,REI/1
node/1014238205,NDI1OTY2MjkwOTUzMjQ2MjE5OTQ=,fd50fd8a-bf3a-494c-b01b-4b4ea0f03863,VCO/1
node/1014238208,NDI1OTY2MjkwNjI1MzI1ODM3,1ef6c501-5832-4e16-861d-e8de71107ed1,VCI/0
node/1014238210,MTA3MDE3NDU2ODM5MzY0MzI4MA==,072c0e76-1e5f-4c62-9772-268ca5b7f032,RUI/0
node/1014238223,MjM4MjkxOTU1NDI1MzI1ODQx,5a01ecd6-3833-472b-8649-ae280290cd9f,REI/0
node/1014238228,NTMyNDYyMTk5NDY1OTU3NTU4MzU=,a0a4d4fb-7fb8-41dd-9c12-b506d9bbdef2,VCO/0
node/1014238230,NTMyNDczMDI1ODQyNTk2NjI5NzQ=,bfbc96ed-66f3-46d9-8034-b8f81d0d202a,RUO/0
node/1014238232,MzkzNjQzMjgwNzkwNjI4OTc4,ae4ae4af-22f7-4b49-bed2-9c2f35ac4809,RUI/1
node/1014238235,NDI1OTY2Mjk1OTUzMjQ3MzQ1MTY=,8051ddb4-40ff-4bea-b3ae-dfc2ef17e60b,REO/1
node/1014238238,NTMyNDczNDUxNjQyNTk2NjI5NTg=,acafced7-089f-4d9f-b76b-6fa70a4482c3,REO/0
node/1014238239,MjUzMjU4MzcyMzgyOTE5NDMy,7b1ca04a-e48d-431b-ab14-0c91d737806a,VCI/1
node/1014238241,NDI1OTY2Mjk3NTUzMjQ3MzAyNTg=,dea3172c-981e-4337-921a-de27715b7f4c,RUO/1
node/1014239543,NDI1OTY2MzAzNjUzMjQ3MjIwMzg=,41b75fbf-2ce9-4689-b1f4-fe8801983f11,BRO/1
node/1014239557,NTMyNDcyMjAzNzU5ODQ2MjgwOTE=,4ff7be33-2c11-48f9-b3d6-6c8709ca3785,BRI/1
node/1014239564,NDI1OTY2Mjg4NDQyNTk2NjI4ODM=,bd98dcfb-d86a-477e-baa7-75c7005dbf00,GMI/1
node/1014239567,NDI1OTY2MzAxMTU5ODQ2NTU0NDQ=,05e9b638-5882-45ad-a1f6-5c6a358047b5,GMO/0
node/1014239568,NTMyNDcyMjAzODU5ODQ2MjgwOTI=,ea4378b2-d8c1-4123-bd6f-90beb4454eb8,BRO/0
node/1014239578,NDI1OTY2Mjg4NTQyNTk2NjI4ODQ=,3a5b1a8f-be8b-4adc-858e-17999103d024,GMI/0
node/1014239582,NDI1OTY2Mjg3MjUzMjQ3MjIwMzc=,5471ab0e-ce80-4c59-a95f-2f11df4454fc,BRI/0
node/1014239586,NDI1OTY2MzAxMjQyNTk2NjMwMTE=,2a1abdfd-e931-4ac6-a312-fe17e17886ee,GMO/1
