track_node,osm_node,notes
004e8fad-160e-42d0-a7c4-ec63375b3cbb,node/4454496699,Switch MC902
00c491c9-b192-47ba-874d-1857326befdb,node/4856507560,Switch DC304
014bb5c1-9fa6-41eb-ae76-e2efeda4834e,node/775446916,Switch DC167
01678f38-5fa6-4d88-bf4e-b91333d18439,node/1030282657,Switch MC85
02158692-b086-492e-b9a7-596e752e1de9,node/4259662837,Switch DC143
0311ed2f-0d82-4837-ae90-c26405ed19b6,node/5326590888,NPO
04808f7d-7bc9-430f-af80-c990a056f70f,node/5523944774,Switch DC300
053085e5-a18c-4d3b-b9a1-1e447be65a9b,node/8573220548,M8/0
088ef82e-c304-4eee-83f6-f8984074dd25,node/1030282805,M4/0
0935d2a0-cb21-4f29-a56d-bd1c3f5f6579,node/1030282916,Switch DC78
09f75285-007d-4ded-9f5b-a475a01fef15,node/4259127038,Switch DC14
0a3edbb6-1184-476d-bcc8-7e576661f526,node/2784408289,Switch DC216
0d63beb9-faa0-416c-aa55-354493a5bfb6,node/2784408199,NPI
0d7efb59-f1cb-4cd0-9a67-1c338a65c318,node/1030283042,Switch DC94
0ec2f941-ac6c-49ab-9e38-3520af77c322,node/1030282623,Switch FC32
1013815a-aa74-4e9c-9fe1-c5e8afce6833,node/6357333685,OMC2 WT2 BS
11250232-e304-417e-a61b-4324bd6df2da,node/1030282675,Switch DC67
1184b3c0-65dd-4f4a-be85-133f1c9b7793,node/1126776623,VCTMOW
1296cf4d-b2a9-4cb7-b870-a6dde50560fa,node/1030283000,Switch DC71
1319ec26-a01d-4075-81ca-5463b5739aaa,node/1030282446,Switch DC86
13aba230-0ee6-4ae0-ae4a-24d3bc01c3f6,node/4259126991,Switch DC21
152d1f5a-7659-4daf-94f7-377da8e96fb3,node/5523944765,Switch DC211
158e5fb7-7dd3-4641-99a5-8f8aa08aa1d1,node/4259662833,Switch DC145
16f4f7d5-4bfc-4543-a4c2-1fa87287e413,node/4249282864,Switch DC35
1714832d-ced3-4dc3-9dc7-6a5e9a16579d,node/8573220532,VCIF-C2/1
17f7b3e0-7be2-484b-89d0-082494b00a58,node/4259662933,Switch DC133
1944bf3c-2dd4-430b-b972-bad639ca2fd7,node/1030282677,Switch DC70
1ad9ee15-5199-4833-9626-f1d49b3d26a9,node/5523966954,Switch DC308
1bd02cdb-91aa-4dde-937c-ca0b403ee742,node/4259127263,Switch DC11
1c31c8fe-7c1f-4439-a28c-da9695337292,node/2591900597,Switch DC201
1e6c4995-98e0-4dbc-87ab-9d8fa2ae3e49,node/4454496695,Switch MC901
1fdbe046-548d-4743-b5ff-356077cada03,node/1030282649,Switch DC97
204da8bf-d836-43e1-b437-929fd52fb418,node/4259662907,Switch DC129
209b72c5-7ac8-428f-950b-496cdce36b5a,node/5523966947,VS7
20d95092-bb6b-48a9-95ec-2c2725c171ee,node/1030282470,Switch DC64
228531fd-c541-4750-b911-3e1d6b952e27,node/3831726691,Switch DC2
23333bae-dde1-466a-9301-e3512e47bb98,node/3830171104,Switch DC8
23a9e8e6-708a-4386-bdf7-6177a12e1ee0,node/3830176076,Switch DC10
23b45fbe-b7b0-4fa8-9a49-945efd0806d0,node/1030282804,Switch DC100
23beb0a2-881c-4aa6-a70d-2fda3371601f,node/1030282789,Switch DC77
24a71134-5279-4a36-81ab-accb6b45d15e,node/4454496710,Switch DC37
255c248b-474c-493d-bdf5-dc82cdc40ed1,node/1030282517,Switch DC60
