intersection_line_id,node_pair_id,track_node,notes
BDZ,NDI1OTE3OTUxNTQyNTkxNzk1MTQ=,6d54918f-a875-4f07-b380-bb4ecd6250cd,BDZ-IB
BDZ,NzA1MzE2OTI2MzU2NDQ1MDQ5NTA=,53f2129a-76e4-4569-95b0-2395a3649c1d,BDZ-OB
BWZ,NDI1OTEyNzE5MDQyNTkxMjcxODk=,fb56da88-ae57-40df-9dbf-d86a1a84ab81,BWZ-IB
BWZ,ODIzMDg0ODE1NjQyNTkxMjcyNTE=,2c3da4da-611e-4c71-a896-94329eb332ae,BWZ-OB
EAT-VCC-Border,MTAzMDI4Mjk1NzEwMzAyODI5MjM=,f976ee22-9f2c-44b6-a365-5e9ab3dd2e6e,NULL
EDZ,ODQ5MDY3NTA3NzI1NzUxMDgx,8c785a8f-5293-4b7a-b314-32eca8dbd3d9,EDZ-OB
EDZ,ODQ5MDY3NTA4MTQyNTkxMjY2MDU=,7b663235-f492-4fb0-a4e7-54a3dae29c07,EDZ-IB
ESBQ1,NDg2MTE4NTc3ODQ4NjExODU3Nzk=,50a14daa-530c-4cf6-b99c-2f081d42243d,NULL
ESBQ3,NDg2MTE1MjQ2MzQ4NjExODU3ODI=,436b554a-5496-42b8-97df-acbeef5e260d,NULL
ESBRI,NDI1OTY2Mjg3NDQyNTk2NjI4NzM=,aa37e4b5-9977-4da3-b913-6e79e97f5338,NULL
ESGMI,NDI1OTY2Mjg4NDQyNTk2NjI4ODM=,92c05202-9198-4ed6-8b87-74e4db39213e,NULL
ESGMO,NDI1OTY2MzAyNjQyNTk2NjMwMjQ=,4191f602-f305-4737-808b-0fc9b0b80731,NULL
ESGW,MjUzNjgzMjc1NDI0OTI4MjczMg==,d5a1ecf2-ebf3-434a-8315-ec9f7d4976f2,ESGWO
ESGW,NDQ1MTExNzM1ODQyNDkyODI4OTM=,c379429e-d529-4467-92ef-2c5649486421,ESGWI
ESHO,NDI1OTY2MjgzMzQyNTk2NjI4MzI=,5c20bbd3-ce29-4abe-8712-ff7c602b7128,ESHOI
ESHO,NDI1OTY2MzA3MzQyNTk2NjMwNzI=,3569df36-c558-4273-a36a-6ed5eef5e3df,ESHOO
ESKGX,NDI0OTI4Mjc5OTQyNDkyODI4NTA=,217ecf92-43bb-468c-9caa-04e9075b4805,NULL
ESLCO,NDI1OTY2MjY2NTQyNTk2NjMxMjI=,5312d30a-1ac3-47fb-bb11-d69b51e73eef,NULL
ESLHI,Mzk1NjA0MDE3MDg5NjM5ODA2NDA=,1bed19ad-d5e7-4895-9794-579529aa414f,NULL
ESLHO/1,MzgzMDE4NzQyNzM4MzAxODc0MTY=,a6e3a5b9-1e19-4cc3-be37-9415334d45ee,NULL
ESLHO/2,MzgzMDE4ODI2NTEzOTQyOTE3Nzk=,80a6ce76-4f24-4708-8a19-8550c5a945a6,NULL
ESLHS,NDYzNjkyNDUzNjg5NjM5ODA2Mzk=,bd528417-84a5-4c9f-aa68-10d0c53e2533,NULL
ESNPI,NTcyNjA2ODE1ODQ4NjExODU3ODk=,6e346d2c-ed2a-41c8-88e9-cbb7f94a00d2,NULL
ESNPO,NTMyNjU5MDg4NTUzMjY1OTA4ODY=,24d68166-da1f-4a8d-adaa-d57e8c578d38,NULL
ESPWI,MzgzMDE4NzQzNjQyNTk2NjI2NjY=,8b2f1adf-3308-480f-b3f4-2417fc6dc810,NULL
ESPWO,NzkwNjI4OTc2MjUwMzc5OTI4,bdbd6851-c150-4be1-b82f-f819374a2ede,NULL
ESRUI,NDI1OTY2Mjk2ODIzODI5MTk1NjE=,877e1907-b171-4f4e-9444-0892fe739931,NULL
ESRUO,NDI1OTY2Mjk3MjQyNTk2NjI5NzE=,7074b760-e7a2-432f-9624-2d421f524493,NULL
ESSAI,NDI1OTE3OTI2NzQyNTkxNzkyNjM=,9c588bf3-1b5d-497e-b7df-ac94d409d2da,NULL
ESSAO,NDI1OTE3OTI4MDMxMTY4MDIyMw==,25dac1c3-f884-4189-b48f-61251d8e562c,NULL
ESSB,NDg1OTAzNDI1MzUxMjYzNDk4MjY=,eebc3964-faec-42e9-8f7a-2a82871972e9,ESSBI
ESSB,NTEyNjM0Njk2NzQ4NTkwMzQyNTU=,a95520cd-64c4-4d45-b21b-5b91b62eb25e,ESSBO
ESSC,MjUzNjgzMjg5MjUzNjgzMjg2,a808362b-0d6c-4ef5-baef-df072ad8fdc3,ESSCO
ESSC,NDI0OTI4MjcxNDQyNDkyODI2MDk=,454bd6fb-1c9e-4f8a-b92e-1510f1bbca5d,ESSCI
JYZ,NDI1OTEyNzAwMjQyNTkxMjcwMDE=,ac9e0027-bdbc-451d-ac03-57ddc16b294a,JYZ-IB
JYZ,NjYxOTM3NjIzMjU3NTExMzA=,f6d3ec3e-7276-4b96-8765-4518205f2bf4,JYZ-OB
MNZ,NDI1OTEyNzIxNDQyNTkxMjcyMTE=,0350ba24-6ffb-4b8d-973f-e285d10647a7,MNZ-IB
MNZ,ODIyNzcyODgwOTgyMjc3Mjg3Nzk=,ff830c46-51f7-4428-81bb-781667b78619,MNZ-OB
MP/0,MTA4MTQwMDMyNjYxMDMwMjgyODA1,dcb7a6d5-97e4-4dc9-b5cf-4b7c08f99ee1,MP1/0
MP/0,MTAzMDI4MjQyNzg1NzMyMjA1MzY=,3271792d-4340-4db7-b5d5-d6688fdd741f,MP4/0
MP/0,MTAzMDI4MjUxOTg1NzMyMjA1MzU=,360467da-ec8a-4813-96eb-d9ecff8a3a85,MP3/0
MP/0,MTAzMDI4MzEwNzg1NzMyMjA1MzQ=,9801ae23-7b5e-4889-9a16-e299edbbee80,MP2/0
MP/1,MTA4MTQwNDQyNjYxMDMwMjgyNzg2,39d1da41-4c83-468f-b705-df385fd71550,MP3/1
MP/1,MTAzMDI4Mjg3NjEwMzAyODI4ODk=,e3ad97e2-3318-4b1f-b199-11071d6e091c,MP4/1
MP/1,MTAzMDI4Mjk2MTQ3OTI0MjEyNDY=,16e94a2b-4326-4301-98c8-ce2f14de260a,MP2/1
MP/1,NDc5MjQyMTI0NzEwODE0MDM3MzAz,28d73307-80be-44eb-be91-06730d5b3434,MP1/1
NWZ,MjU3NTExODg3NzU0NDM3Nzk=,d6cfd1d7-e54c-450f-b48a-424c92cf8c08,NWZ-OB
NWZ,NDI0OTI4MjYxMjQyNDkyODI2ODg=,9a3dee85-42cc-47e9-b92e-edc9f7a35c49,NWZ-IB
PTZ,NDI1OTEyNjY3MTQyNTkxMjY2NzA=,477fd341-7416-49f1-9ab1-1f675ae9a1c8,PTZ-IB
PTZ,NTE1MzU1NDAyMzUxNTM1NTQwMjI=,bf822e39-b3e7-4ee5-b500-1fd9d3c8bfe9,PTZ-OB
PWZ,MzgzMDE4NzQ1NDM4MzAxODc0MjE=,d9c8d162-955a-45bb-8eae-251d9e5ccd35,PWZ-OB
PWZ,MzgzMDE4NzQwMzM4MzAxODc0NTY=,93eb23df-40cf-4ecd-bb7c-0e73c50005de,PWZ-IB
ROZ,MzExNjc3NjYxMjU3NTExMDM=,55b98352-fbda-4cca-9569-7491fa88d82f,ROZ-OB
ROZ,NDI1OTEyNjY0NDQyNTkxMjY2NDM=,9faa68c8-25c1-4754-9153-5e64e6c1c2c7,ROZ-IB
SAZ,MjU3NTEwOTcxMDg2MTYyMjg1Mw==,00b09e08-f5a0-481d-a34a-18925fe27162,SAZ-OB
SAZ,NDI1OTE3OTI2MjQyNTkxNzkyNjE=,61f2b1c9-91d7-432a-bc55-5fe976a6d9f6,SAZ-IB
SB RE,NDI0OTI4MjYyNTUxMjYzNDY5NjU=,693adc80-39a1-4af5-bfad-4de1bbb69f13,SB RE IB
SB RE,NjIwNDEwMDAwMDUxMjYzMzM2MDk=,d2f0ddcf-0ebc-45e1-9359-7d9582e1d05a,SB RE OB
TSZ,NDI0OTI4MjY1ODQyNDkyODI3NzY=,8cf08fb4-3a71-46d4-9855-5449a0413ee0,TSZ-IB
TSZ,Nzc1NDQyMzU5NDI0OTI4Mjc0MA==,d483c91f-7e16-443e-932e-3199dc3753ee,TSZ-OB
VMS3 Wall,NDc5MjQ2NDM1Nzg1NzMyMjA1NDE=,241cea41-46d4-449d-9492-a0e2652557bb,G4
VMS3 Wall,ODU3MzIyMDU0MDQ3OTI0NjQzNjM=,960f50ec-255c-4aff-8903-d82fdd83053b,G3
WTB,MzgzMTcyNjY5ODM4MzE3MjY3MTY=,81f2a766-44cc-44b9-92f2-f2b22fd787c2,NULL
WTBO,MzgzMTcyNjcxNTM4MzE3MjY2OTI=,8699f2f3-763f-4f55-8ae8-eb38da8f4582,NULL
