intersection_line_id,geom,notes
BDZ,0102000020110F000002000000D37D483156176AC1A07F5B8DAC16584187D9207C54176AC10E61131FAD165841,NULL
BWZ,0102000020110F0000020000008214FA2387216AC1A1F1DC71A11B5841F697602F86216AC11EE3AC75A51B5841,NULL
EAT-VCC-Border,0102000020110F000002000000909B0C434A1B6AC1F6E0F7574C125841C9A8F9AC4A1B6AC1D7381BA94B125841,NULL
EDZ,0102000020110F0000020000005BCE5AD3941B6AC14DDB73D3631358413FC593A6931B6AC10A57610B66135841,NULL
ESBQ1,0102000020110F0000020000005966A805E0176AC1918C87E1A11A5841ACE2077FE1176AC1938295D2A11A5841,NULL
ESBQ3,0102000020110F0000020000006C9CC0ADC1176AC15AD61A38161B58410537AFF4C2176AC1A09D9121181B5841,NULL
ESBRI,0102000020110F0000020000003938D33A031E6AC1DC9EF5E3141C5841B8BF0846031E6AC10D8CF548131C5841,NULL
ESCCI,0102000020110F00000200000087D7E10AF2126AC1E03DFBF48D1D58417C138E64F2126AC10953C3958C1D5841,NULL
ESCCO,0102000020110F000002000000923A2BBEF3126AC16E19DF41891D58415FB3AE53F3126AC1C486D3A48A1D5841,NULL
ESFCI/1,0102000020110F000002000000BB4FD354FD136AC145D23CE6C91D58417B136E5AFD136AC177B54A3CC81D5841,NULL
ESGMI,0102000020110F000002000000A71EA4D05C1E6AC1F2784C45F21B5841410B32F45B1E6AC13407511CF01B5841,NULL
ESGMO,0102000020110F00000200000066E2EE57301E6AC1CF3603CE0C1C584163F1596E301E6AC19485AFC20E1C5841,NULL
ESGW,0102000020110F0000020000006D27524494156AC1FF2C5A7734105841B2A172FD91156AC1FD364C8634105841,NULL
ESHO,0102000020110F000002000000DA01125E6B1C6AC1A058AE5F8F1B58410317DAFE691C6AC107B9766C941B5841,NULL
ESICO,0102000020110F0000020000001114E04E62146AC1C1076326DF1D5841976ED41662146AC18E29CED7E01D5841,NULL
ESJYI,0102000020110F0000020000000D8DE4EE241F6AC19F810AEF0217584145FB0334251F6AC1FA27410902175841,NULL
ESJYO,0102000020110F000002000000F8A84B001B1F6AC10C160C9AF21658416E6C2D651B1F6AC1708F0171F1165841,NULL
ESKGX,0102000020110F000002000000C57BA93B49156AC1326750D72D0E5841B6D0B2BA49156AC15F68345A2C0E5841,NULL
ESLAI,0102000020110F00000200000001CF9CA46A126AC19E01A6FE041F58419AC51CD769126AC1B1933F5A041F5841,NULL
ESLAO/1,0102000020110F000002000000FEE280C26A126AC117A75180F81E584166EC00906B126AC10701D406F91E5841,NULL
ESLAO/2,0102000020110F0000020000006B209AE462126AC1B09878CE1D1F5841559D6B9F63126AC197292EA71E1F5841,NULL
ESLCO,0102000020110F0000020000002107C4FAD5196AC11E7AF0B50D1A5841A08980FED5196AC1592B44C10B1A5841,NULL
ESLHI,0102000020110F000002000000F38BC85E09186AC1B99C76F8FC185841BE09C5FB08186AC11DBADAE3FD185841,NULL
ESLHO/1,0102000020110F000002000000A643821332186AC197BB273C35195841318519B631186AC1757E975F36195841,NULL
ESLHO/2,0102000020110F0000020000005CCE5A8801186AC1DB7DE5D7EA185841ABB5B60301186AC134DC6E24EC185841,NULL
ESLHS,0102000020110F000002000000EEECA2F600186AC1D16722B0F31858411A9CE79C01186AC102552215F2185841,NULL
