map_id,marker_id,geom
trace-VCC1-1,WTB,010100000000000000008046400000000000002840
trace-VCC1-2,VTB,010100000000000000002C954000000000008040C0
trace-VCC2-1,MTB,0101000000000000000008964000000000008040C0
trace-VCC2-2,YP1,0101000000000000000028874000000000008059C0
trace-VCC2-2,YP2,0101000000000000000088894000000000008059C0
trace-VCC2-2,YP3,01010000000000000000F08B4000000000008059C0
trace-VCC2-2,YP4,01010000000000000000288F4000000000008059C0
trace-VCC2-2,YP5,01010000000000000000B08F4000000000008059C0
trace-VCC2-3,SRX,01010000000000000000709D4000000000008040C0
trace-VCC2-3,STB,0101000000000000000000A14000000000000059C0
trace-VCC2-4,KTB,0101000000000000000040994000000000000065C0
trace-VCC4-2,HOP,01010000000000000000F0824000000000000037C0
trace-VCC4-3,BTB,0101000000000000000000874000000000006062C0
trace-VCC4-3,TCP,0101000000000000000060884000000000000041C0
