loop_id,vcc_id,color,notes
1,1,0,NULL
2,1,1,NULL
3,1,1,NULL
4,1,0,NULL
5,1,0,NULL
6,1,1,NULL
7,1,1,NULL
8,1,0,NULL
9,1,0,NULL
10,1,1,NULL
11,1,1,NULL
12,1,0,NULL
13,1,0,NULL
14,1,1,NULL
1,2,1,NULL
2,2,0,NULL
3,2,0,NULL
4,2,2,NULL
5,2,1,NULL
6,2,1,NULL
7,2,0,NULL
8,2,0,NULL
9,2,1,NULL
10,2,1,NULL
11,2,0,NULL
12,2,0,NULL
13,2,1,NULL
14,2,1,NULL
15,2,0,NULL
16,2,0,NULL
17,2,1,NULL
18,2,1,NULL
19,2,0,NULL
20,2,0,NULL
21,2,1,NULL
22,2,0,NULL
23,2,1,NULL
24,2,1,NULL
25,2,0,NULL
1,3,1,NULL
2,3,0,NULL
3,3,2,NULL
4,3,2,NULL
5,3,2,NULL
6,3,2,NULL
7,3,2,NULL
8,3,0,NULL
9,3,2,NULL
10,3,1,NULL
11,3,0,NULL
12,3,2,NULL
13,3,1,NULL
14,3,0,NULL
15,3,0,NULL
16,3,0,NULL
17,3,2,NULL
18,3,1,NULL
19,3,1,NULL
20,3,2,NULL
21,3,0,NULL
22,3,1,NULL
23,3,2,NULL
24,3,1,NULL
25,3,0,NULL
26,3,0,NULL
27,3,1,NULL
1,4,1,NULL
2,4,0,NULL
3,4,0,NULL
4,4,1,NULL
5,4,1,NULL
6,4,0,NULL
7,4,0,NULL
8,4,1,NULL
9,4,1,NULL
10,4,0,NULL
11,4,0,NULL
12,4,1,NULL
13,4,1,NULL
14,4,0,NULL
15,4,2,NULL
16,4,1,NULL
1,5,1,NULL
2,5,0,NULL
3,5,0,NULL
4,5,1,NULL
5,5,1,NULL
6,5,0,NULL
7,5,0,NULL
8,5,1,NULL
9,5,1,NULL
10,5,0,NULL
11,5,0,NULL
12,5,1,NULL
13,5,1,NULL
14,5,0,NULL
15,5,0,NULL
16,5,1,NULL
17,5,1,NULL
18,5,0,NULL
19,5,0,NULL
20,5,1,NULL
1,6,1,NULL
2,6,1,NULL
3,6,1,NULL
4,6,1,NULL
5,6,1,NULL
6,6,0,NULL
7,6,0,NULL
8,6,1,NULL
9,6,1,NULL
10,6,1,NULL
