connection_id,node_id,block_u,block_v,connection_type,encompassing_substation,normally_open,motorized,notes
BDZ-Feed,NULL,f3c775e5-5d8c-4a4b-8cc3-1178f4063ed2,7cdd3671-2431-48a3-b2f6-29d18a439416,breaker,BDZ,f,t,NULL
BDZ-IB/0,NULL,7cdd3671-2431-48a3-b2f6-29d18a439416,b4a4ebeb-aec5-4757-a48e-48f7f0eaadfd,breaker,BDZ,f,t,NULL
BDZ-IB/1,NULL,21d0866e-3af9-456e-8225-56c824e1b3a8,1cc2a174-8774-44d5-8f6c-899c1b4b5584,breaker,BDZ,f,t,NULL
BDZ-OB/0,NULL,7cdd3671-2431-48a3-b2f6-29d18a439416,87b5bac9-671a-45a3-a395-23a942d8c6e3,breaker,BDZ,f,t,NULL
BDZ-OB/1,NULL,21d0866e-3af9-456e-8225-56c824e1b3a8,252dde3e-6fd1-4abe-930f-5a146a34e495,breaker,BDZ,f,t,NULL
BDZ-Tie,NULL,7cdd3671-2431-48a3-b2f6-29d18a439416,21d0866e-3af9-456e-8225-56c824e1b3a8,breaker,BDZ,f,t,NULL
BQZ-Feed,NULL,e8367826-c6e0-469b-8eef-319a97b229f8,8c6e61e6-b10f-4d8b-bf16-969cf081db5a,breaker,BQZ,f,t,NULL
BQZ-IB/0,NULL,8c6e61e6-b10f-4d8b-bf16-969cf081db5a,0405e99d-9f5b-43fd-8fbe-1b62703fd8bc,breaker,BQZ,f,t,NULL
BQZ-IB/1,NULL,33728148-8c9e-4620-ad47-1ceeb2386a7d,9b2ab380-7ba1-444a-b70a-09318dea98fa,breaker,BQZ,f,t,NULL
BQZ-OB/0,NULL,8c6e61e6-b10f-4d8b-bf16-969cf081db5a,2a6fe8d8-e2b3-413c-aaa6-803ef7b9951d,breaker,BQZ,f,t,NULL
BQZ-OB/1,NULL,33728148-8c9e-4620-ad47-1ceeb2386a7d,dfd82082-98c1-43bc-ae50-9fcaf975a7d5,breaker,BQZ,f,t,NULL
BQZ-Tie,NULL,8c6e61e6-b10f-4d8b-bf16-969cf081db5a,33728148-8c9e-4620-ad47-1ceeb2386a7d,breaker,BQZ,f,t,NULL
BWZ-Feed,NULL,ecb0efe4-1dce-492d-a33e-4de680d58d5a,18251727-d38d-4965-8101-39f7d2eacfaf,breaker,BWZ,f,t,NULL
BWZ-IB/0,NULL,18251727-d38d-4965-8101-39f7d2eacfaf,662df440-f602-4bd3-bf1e-b7990859b06e,breaker,BWZ,f,t,NULL
BWZ-IB/1,NULL,1395d461-275d-443d-99d0-fb941741a828,4a12512f-1c1a-4b2e-b375-79447d5a856d,breaker,BWZ,f,t,NULL
BWZ-OB/0,NULL,18251727-d38d-4965-8101-39f7d2eacfaf,8b2e0d11-74fc-4a93-89ff-0885e3ad3448,breaker,BWZ,f,t,NULL
BWZ-OB/1,NULL,1395d461-275d-443d-99d0-fb941741a828,25adee9e-7d71-4458-b11e-e946910e2c3e,breaker,BWZ,f,t,NULL
BWZ-Tie,NULL,18251727-d38d-4965-8101-39f7d2eacfaf,1395d461-275d-443d-99d0-fb941741a828,breaker,BWZ,f,t,NULL
CMZ-Feed,NULL,01f05178-a12f-4844-b9ce-8023485085e1,57da60a2-78f8-4d27-87c3-72e4f751b4e4,breaker,CMZ,f,t,NULL
CMZ-IB/0,NULL,57da60a2-78f8-4d27-87c3-72e4f751b4e4,59dfafb3-3e5e-450c-9090-a73a6f9ab71e,breaker,CMZ,f,t,NULL
CMZ-IB/1,NULL,56815aba-3436-4fb6-8d40-1c1692b0273f,83e25e90-78f1-4fc2-8a84-1e7b3476da19,breaker,CMZ,f,t,NULL
CMZ-OB/0,NULL,57da60a2-78f8-4d27-87c3-72e4f751b4e4,deb9f5d2-43d3-40a7-810f-8f11bf4e8438,breaker,CMZ,f,t,NULL
CMZ-OB/1,NULL,56815aba-3436-4fb6-8d40-1c1692b0273f,1907a90f-4eb8-4390-b595-163b149565f0,breaker,CMZ,f,t,NULL
CMZ-Tie,NULL,57da60a2-78f8-4d27-87c3-72e4f751b4e4,56815aba-3436-4fb6-8d40-1c1692b0273f,breaker,CMZ,f,t,NULL
COZ-Feed,NULL,1f846960-4fcd-4d3e-8c35-103916279ae6,fe1613c5-63c1-4ca8-bcc0-e70f6005de67,breaker,COZ,f,t,NULL
COZ-IB/0,NULL,fe1613c5-63c1-4ca8-bcc0-e70f6005de67,5c340574-6a32-43ca-a228-a4211bce4f3f,breaker,COZ,f,t,NULL
COZ-IB/1,NULL,c1f2f9fe-726d-4180-9f9e-554041432ebc,dbd4405e-0c9a-4740-8cdb-cd31adbe0b8c,breaker,COZ,f,t,NULL
COZ-OB/0,NULL,fe1613c5-63c1-4ca8-bcc0-e70f6005de67,1a59068c-d418-43fa-af49-d7e50ddb81ce,breaker,COZ,f,t,NULL
COZ-OB/1,NULL,c1f2f9fe-726d-4180-9f9e-554041432ebc,908e0ce0-8466-4dfb-b270-c62ffd6d9b64,breaker,COZ,f,t,NULL
COZ-Tie,NULL,fe1613c5-63c1-4ca8-bcc0-e70f6005de67,c1f2f9fe-726d-4180-9f9e-554041432ebc,breaker,COZ,f,t,NULL
EDZ-Feed,NULL,7199e37c-a7d4-4732-b156-52c51cbc0a82,72b2ab7b-9b29-4d7c-a71d-735482c1c1e5,breaker,EDZ,f,t,NULL
EDZ-IB/0,NULL,72b2ab7b-9b29-4d7c-a71d-735482c1c1e5,9e68d34d-0582-4b15-80ff-c04575bdbc5f,breaker,EDZ,f,t,NULL
EDZ-IB/1,NULL,304c7918-94d0-4253-8e7d-8a56bac743b6,1ef901f6-7ffd-47b4-a1c8-40aebe912399,breaker,EDZ,f,t,NULL
EDZ-OB/0,NULL,72b2ab7b-9b29-4d7c-a71d-735482c1c1e5,16811edc-acde-4a23-9793-3422da79820f,breaker,EDZ,f,t,NULL
EDZ-OB/1,NULL,304c7918-94d0-4253-8e7d-8a56bac743b6,4b9fe122-e383-4c68-b26f-55cfe4a78398,breaker,EDZ,f,t,NULL
