pb_id,color,encompassing_substation,notes
00ca279a-711a-4499-8276-f2aa74649c3e,1,NULL,NULL
00cf24c6-d6b7-4665-b6b4-87fd826089e7,2,NULL,OMC1 UNCONFIRMED
010a26e3-2a85-4fa6-9851-307c7c9bb210,0,PTZ,PTZ/0
017278de-3f7e-4ad5-b678-66e8dcb230d6,0,NULL,NULL
01f05178-a12f-4844-b9ce-8023485085e1,0,CMZ,CMZ-Feed
02df13f2-4300-4b81-9a8b-9e50985870c2,0,NULL,NULL
0405e99d-9f5b-43fd-8fbe-1b62703fd8bc,1,NULL,NULL
05a5c018-24eb-43a1-a1a5-51b8ebf9aad7,1,NULL,NULL
07ddbc93-8cc0-4905-b32a-c7252d5bd0ad,0,NULL,NULL
0826fc84-a2d2-4771-b061-a61e97a9a809,0,MNZ,MNZ/0
0850e038-5598-4129-9c63-f2706ccc48b8,0,HOZ,HOZ/1
0870bd31-d598-4500-8278-b0b74ade8e7d,1,NULL,NULL
09558c11-1216-4473-a7e3-7a08eae1c725,0,NULL,NULL
09bfc043-90d7-459d-ba52-cc303e67c010,1,NULL,NULL
0b081b4f-2b01-42d5-b938-20b0b6074964,0,NULL,NULL
0b34b1e4-8cfb-4fd0-94d2-451615b49e72,1,NULL,NULL
0b49a843-f75d-4270-82c4-b5428afc77f6,1,NULL,NULL
0c403a2f-ec91-4e74-a8e4-a961fb8585ff,2,NULL,NULL
0dbbda7e-50f2-4690-8d56-bfb5542f2fd4,0,SAZ,SAZ/0
0f2351ac-bfbc-493f-9602-41186e0e5941,0,KGZ,KGZ-Feed
0f4b5993-9d21-4e94-8315-6eae86cdaa17,0,KGZ,KGZ/1
108ba572-140d-4680-80d8-5cf859481679,0,WFZ,WFZ-Feed
10e4f7ef-1851-4d44-93a5-0f7467aeb4cd,0,NULL,NULL
132c28de-b2db-48ca-bb93-4167abe13847,1,NULL,OMC2
1395d461-275d-443d-99d0-fb941741a828,0,BWZ,BWZ/1
148ddd23-67a1-464a-a876-a4f4a3442981,0,NULL,tmp
16811edc-acde-4a23-9793-3422da79820f,1,NULL,NULL
16b33c3e-fba4-4bd0-8e51-109e30f792e8,0,NULL,OMC1 UNCONFIRMED
170d27d4-afa9-433a-92ff-2d59475c6e39,2,NULL,OMC1 UNCONFIRMED
17e72068-4756-473f-aa30-a6a2cdbd5e16,0,NAZ,NAZ/0
18251727-d38d-4965-8101-39f7d2eacfaf,0,BWZ,BWZ/0
1907a90f-4eb8-4390-b595-163b149565f0,2,NULL,NULL
192aef89-46fa-40d0-ae59-7b1406b39e49,1,NULL,NULL
196ca9e9-c2ed-4b5c-9f8e-4a1e740a0a99,0,GMZ,GMZ/1
19c42924-3577-44b6-a0d4-84a02e319886,0,NULL,NULL
1a59068c-d418-43fa-af49-d7e50ddb81ce,1,NULL,NULL
1aaa3aa1-0255-468e-9774-521ec83744d6,0,NULL,NULL
1afe01c9-356d-4a21-abe5-332a179eed22,0,NULL,tmp
1c21f5a1-566a-4698-8ad1-c506dfc5dc04,0,NPZ,NPZ-Feed
1cc2a174-8774-44d5-8f6c-899c1b4b5584,1,NULL,NULL
1d0b88d2-5ca9-477c-bae4-74760a57a06c,0,SRZ,SRZ-Feed
1e7e44a9-a884-4f05-ac35-04a7e06622c7,0,NULL,NULL
1ef901f6-7ffd-47b4-a1c8-40aebe912399,1,NULL,NULL
1effe789-c426-46f9-b0e1-ce2037bdfbf3,1,NULL,tmp
1f846960-4fcd-4d3e-8c35-103916279ae6,0,COZ,COZ-Feed
20e77252-3324-4b24-8a4d-97436181a6af,0,REZ,REZ-Feed
21d0866e-3af9-456e-8225-56c824e1b3a8,0,BDZ,BDZ/1
222fe6b1-5ac3-45bb-882a-b13d6ced3f30,0,NULL,tmp
229b2243-9389-4f32-967f-a79730301393,0,TSZ,TSZ-Feed
22e26384-efae-4103-a2a4-a36bf4a089cb,0,SRZ,SRZ/1
2326ce8d-bb18-4f17-8ae1-e95c295a6b86,1,NULL,tmp
235cce04-b6df-46fa-9752-f61ad8bae1d5,0,NULL,NULL
23705c34-b7c6-4422-b86a-6ef736de0c45,0,SAZ,SAZ-Feed
244cd1f4-e143-43a0-9e6b-f3d3978e79e9,1,NULL,NULL
24c8f7d3-2c3c-470c-a631-d6e4d3494e1f,1,NULL,NULL
24cb7864-9508-4f20-ab17-8aee014793e9,0,PWZ,PWZ-Feed
252dde3e-6fd1-4abe-930f-5a146a34e495,0,NULL,NULL
25adee9e-7d71-4458-b11e-e946910e2c3e,1,NULL,NULL
263658f7-0ba1-4b86-ba7b-64ebf7050b33,0,NULL,tmp
26659341-a083-4b5f-8731-907c796917cd,0,MNZ,MNZ/1
2938145a-fdba-474e-9a71-072455913d1e,0,NULL,NULL
2a6fe8d8-e2b3-413c-aaa6-803ef7b9951d,0,NULL,NULL
2bad0257-e5bf-41bc-97d0-9a3365310ea8,1,NULL,NULL
2bc2cd2d-3ff4-41a5-839f-dd603c9bcf41,3,NULL,NULL
2ca26f73-6e78-4e07-909e-195cc2fb5ff4,2,NULL,NULL
2cd3a057-c402-4472-8aef-fff4ba53236a,0,SAZ,SAZ/1
2d67e395-d588-4be3-bbf2-69ed3d8c5530,1,NULL,NULL
2eee2eb7-8bb3-4b94-ae2d-5f3e249cb58d,1,NULL,NULL
304c7918-94d0-4253-8e7d-8a56bac743b6,0,EDZ,EDZ/1
30ca8307-bc68-46ed-baea-e72c6f65c83f,1,NULL,NULL
3233815f-6ce9-48db-9c85-c7447af84fda,0,WFZ,WFZ/0
334ca831-6c7f-491d-96dd-c5ba47ef4413,2,NULL,NULL
33728148-8c9e-4620-ad47-1ceeb2386a7d,0,BQZ,BQZ/1
33bbf14f-2b6c-406f-9018-fe943001c9d8,2,NULL,NULL
3517ced2-cb0e-4e07-8a50-55bc2bb53881,1,NULL,NULL
35222a84-a851-43ba-86e2-e3c9a9b15564,0,NULL,NULL
36fd4efe-9bf1-467c-8830-dc588659dc06,0,MNZ,MNZ-Feed
380a15cf-af38-485a-92f7-5da2436ae3ab,0,NULL,NULL
38d4d244-c718-4eb2-a0b9-96334dc48878,1,NULL,NULL
3b11f914-336a-4f41-9361-7efc15b587b2,1,NULL,NULL
3ed422d7-ae4f-4d30-b6f0-aef5ffd5f956,0,NULL,NULL
3f9d13a4-c6cc-4c94-a92e-32a9e76c13de,0,NULL,NULL
40b3dd3b-18dd-4589-89c1-8929f141b9e2,1,NULL,NULL
412664cd-8f9b-43bb-9ed7-375701e857f7,1,NULL,OMC1 UNCONFIRMED
413c1fd0-86e0-4375-9656-dac736240d87,0,NWZ,NWZ/0
42811914-2951-49ea-a44d-0ead54e07554,0,JYZ,JYZ/0
445c2e7e-a1e7-44cb-8b7b-652c4fc872f9,1,NULL,NULL
44a890ec-71a3-4ef9-821c-c216ca5cc296,1,NULL,NULL
456c2131-415f-49c2-b47a-85539e3aefd9,0,GMZ,GMZ/0
45d3c170-51d9-47a7-82c4-3971d30fc169,2,NULL,NULL
463ec25d-58f0-407a-9ba1-fe523188e3c8,2,NULL,NULL
4891f084-44ce-43f3-9683-847aedc6f715,0,HOZ,HOZ-Feed
48ee0004-647a-44bd-aa9f-3be72364635a,0,GWZ,GWZ/1
49e5ba32-9068-4fab-a6d5-8ffb9faef6c1,0,NULL,NULL
4a12512f-1c1a-4b2e-b375-79447d5a856d,0,NULL,NULL
4b9fe122-e383-4c68-b26f-55cfe4a78398,0,NULL,NULL
4be5ef57-18c3-485d-a3c0-395b9aff89d4,0,NULL,NULL
4ea66cf4-91c8-481d-afc9-8edb931aa598,0,NULL,NULL
4eebbdec-34f3-4ee0-8565-ccffd95fd89d,0,NULL,NULL
4f10f4ee-55ad-473f-96f1-3218c4651c56,1,NULL,NULL
5049d54b-925d-4641-abb9-5d5093bc1642,0,NULL,NULL
51ef4306-4e14-4546-ae34-b801ca700d6e,0,NULL,NULL
544feef2-a8cf-443f-87e6-1dac4216c865,0,NULL,NULL
54d6df0c-cf61-4978-a783-2f265749dcda,1,NULL,OMC1 UNCONFIRMED
5509639f-3cae-4546-8181-4406532c776c,0,NULL,NULL
555fa8a0-71a3-4f04-8248-74665a13c910,1,NULL,NULL
566e7c46-1590-43e4-ab49-43fb6c755398,2,NULL,NULL
56815aba-3436-4fb6-8d40-1c1692b0273f,0,CMZ,CMZ/1
5765afa5-4865-4229-8395-4d1bbebf657b,3,NULL,NULL
57b07b22-64d0-44b8-a34b-cdd9a4135189,2,NULL,NULL
57da60a2-78f8-4d27-87c3-72e4f751b4e4,0,CMZ,CMZ/0
580423cc-c42d-4fdf-96f2-9e9c855b034b,0,NULL,OMC1 UNCONFIRMED
58d0b97a-2c4a-493c-8051-f5f6542571d9,0,ROZ,ROZ/0
59dfafb3-3e5e-450c-9090-a73a6f9ab71e,1,NULL,NULL
5a48b148-3c91-4bd0-a0ee-85dfa37b9632,0,PWZ,PWZ/0
5b5dd271-b45d-4910-b19b-e47da225b426,0,NULL,NULL
5c340574-6a32-43ca-a228-a4211bce4f3f,0,NULL,NULL
5d8a85df-f555-4bcc-bf0d-5b2d5232c5c7,2,NULL,NULL
5db79cf7-40e5-4740-9e77-26140c522955,2,NULL,NULL
5f8d41df-d57e-4dda-a7c1-60a09e305ac6,0,ROZ,ROZ/1
5fc73f65-756a-47a3-8e81-5e198e3dacfc,0,NULL,NULL
607a8797-e309-44af-98c8-a5791620a8cf,1,NULL,tmp
62e1a443-21d1-4b62-a103-61c27b5cf8a5,0,NAZ,NAZ-Feed
638d8aec-70f8-4ec2-b4f7-ef199dad7470,0,NULL,NULL
64a3146f-ed43-4865-b370-9f27c03189fb,0,TSZ,TSZ/0
6586cb1a-630e-4a7b-b6f6-79ca15b01a2e,0,STZ,STZ/0
65b60815-630e-40e7-b1f3-ff63640b5516,0,NULL,NULL
662df440-f602-4bd3-bf1e-b7990859b06e,1,NULL,NULL
68f6da33-5f6c-4cf4-808e-ab122df868ca,0,NULL,OMC1 UNCONFIRMED
6ad4844c-5ff5-402b-bc26-7c7dc90e7e20,0,JYZ,JYZ/1
6b497872-f54a-4ed9-90a6-91a63915587d,0,NULL,NULL
6c5d0ff0-f1fe-4b75-8689-4d47545bc557,2,NULL,NULL
6d1df848-d469-4124-aa37-732ab552d5a1,0,ROZ,ROZ-Feed
6d590672-9a95-4f45-9dcf-e1a4f0e6148f,1,NULL,NULL
6d754c49-d617-4532-8baf-717f006f4422,0,PTZ,PTZ-Feed
6da90c88-3130-4a2e-8dc4-4d85a73dbb4d,2,NULL,NULL
6f405a70-a49b-48e1-bf59-78ea58e2254b,0,NULL,OMC1 UNCONFIRMED
6f8846a4-5548-4f28-a4df-7d536469da26,0,NULL,NULL
7028c9a5-4030-4199-810e-63994936829c,0,NULL,OMC1 UNCONFIRMED
7057e9f9-3298-4885-9f11-47535d9ce0fa,1,NULL,NULL
7118615b-84e9-493c-bdff-dd3c3a3f31ee,0,NULL,NULL
7199e37c-a7d4-4732-b156-52c51cbc0a82,0,EDZ,EDZ-Feed
72262789-9fc7-4c8e-bdca-97afdf97ee14,0,GMZ,GMZ-Feed
72b2ab7b-9b29-4d7c-a71d-735482c1c1e5,0,EDZ,EDZ/0
72c6107e-5281-4ab2-9114-68e12db14450,1,NULL,NULL
7441910f-e07a-47ae-b12f-92ef628cd04f,0,NULL,NULL
7529ccd9-ce10-4b10-9cd3-e4ecf3c8d643,0,LCZ,LCZ/0
75605936-216b-46af-aaa5-f3d83f3b7d80,1,NULL,NULL
769a52da-edae-4913-8630-326f7eb02c91,1,NULL,NULL
782aa0b8-0512-417d-b14a-b814454c911b,0,NPZ,NPZ/0
