zone_id,station_id,gtfs_id,notes
BDI,BD,8578,NULL
BDO,BD,8577,NULL
BQI,BQ,12228,NULL
BQO,BQ,12229,NULL
BRI,BR,8750,NULL
BRO,BR,8759,NULL
BUI,BU,8077,NULL
BUO,BU,8040,NULL
BWI,BW,8073,NULL
BWO,BW,8044,NULL
CCI,CC,12234,NULL
CCO,CC,12235,NULL
CMI,CM,8754,NULL
CMO,CM,8763,NULL
COI,CO,8063,NULL
COO,CO,8054,NULL
EDI,ED,8066,NULL
EDO,ED,8051,NULL
G1,MF,NULL,NULL
G2,MF,NULL,NULL
G3,MF,NULL,NULL
G4,MF,NULL,NULL
GMI,GM,8751,NULL
GMO,GM,8760,NULL
GND,MF,NULL,Grinder Pit
GVI,GV,8076,NULL
GVO,GV,8041,NULL
GWI,GW,8061,NULL
GWO,GW,8056,NULL
HOI,HO,8749,NULL
HOO,HO,8758,NULL
ICI,IC,12232,NULL
ICO,IC,12233,NULL
JYI,JY,8070,NULL
JYO,JY,8047,NULL
KGI,KG,8059,NULL
KGO,KG,8058,NULL
LAI,LA,12238,NULL
LAO,LA,12239,NULL
LCI,LC,9510,NULL
LCO,LC,9511,NULL
LHI,LH,8746,NULL
LHO,LH,8755,NULL
LHS,LH,12227,NULL
LNI,LN,12236,NULL
LNO,LN,12237,NULL
M1,MF,NULL,NULL
M2,MF,NULL,NULL
M3,MF,NULL,NULL
M4,MF,NULL,NULL
M8,MF,NULL,NULL
M9,MF,NULL,NULL
MCI,MC,12230,NULL
MCO,MC,12231,NULL
MNI,MN,8074,NULL
MNO,MN,8043,NULL
MTI,MT,8068,NULL
MTO,MT,8049,NULL
NAI,NA,8072,NULL
NAO,NA,8045,NULL
NWI,NW,8064,NULL
NWO,NW,8053,NULL
PTI,PT,8069,NULL
PTO,PT,8048,NULL
PWI,PW,8747,NULL
PWO,PW,8756,NULL
REI,RE,8753,NULL
REO,RE,8762,NULL
ROI,RO,8067,NULL
ROO,RO,8050,NULL
RUI,RU,8752,NULL
RUO,RU,8761,NULL
S1,MF,NULL,NULL
S10,MF,NULL,NULL
S11,MF,NULL,NULL
S12-N,MF,NULL,NULL
S12-S,MF,NULL,NULL
S13,MF,NULL,NULL
S2,MF,NULL,NULL
S3,MF,NULL,NULL
S4,MF,NULL,NULL
S5,MF,NULL,NULL
S6,MF,NULL,NULL
S7,MF,NULL,NULL
S8,MF,NULL,NULL
S9,MF,NULL,NULL
SAI,SA,8580,NULL
SAO,SA,8579,NULL
SCI,SC,8060,NULL
SCO,SC,8057,NULL
SPI,SP,8748,NULL
SPO,SP,8757,NULL
SRI,SR,8062,NULL
SRO,SR,8055,NULL
STI,ST,8075,NULL
STO,ST,8042,NULL
STS,ST,NULL,NULL
TNI,TN,8071,NULL
TNO,TN,8046,NULL
TSI,TS,8065,NULL
TSO,TS,8052,NULL
TZ,MF,NULL,NULL
VCI,VC,10375,NULL
VCO,VC,10374,NULL
WFI,WF,8078,NULL
WFO,WF,8039,NULL
WT,MF,NULL,NULL
