switch_id,node_id,switch_type,turnout_side,common_fragment,left_fragment,right_fragment,notes
1,bf5f31b9-838b-4992-b414-bce29f15047d,direct,left,a5d5f84e-10aa-4cb4-8455-41572632877e,da8b8300-1a97-4f1a-be8c-d4d03da99d6f,a340dfa1-c19b-44d4-963f-fd34d17211a2,NULL
2,228531fd-c541-4750-b911-3e1d6b952e27,direct,right,0ebcf5dd-6b20-4f49-8454-27e6a9c27c02,4d5f8c9c-6d98-4e96-aa85-3e09538cff83,3d3e7e42-d612-493c-ae0e-ccb082fea00a,NULL
3,fff71c90-4e4f-4eb9-b37a-cb12b9bcdd7b,direct,left,5ab9a682-245b-4084-97b8-63eed441b191,a3e7a56f-54b0-4dd7-aad3-daac8c299a1e,abbd28ed-2842-419a-a1da-f5304da53eb2,NULL
4,e5f31315-1aa5-4e26-8323-3643c5f255f8,direct,left,2b388a5a-099e-463a-9bc7-ecc3a4a64b17,28e1bc95-7be6-4362-ae65-2946cd1548a6,7eb2c386-78bd-4a49-868d-1193bf105f3a,NULL
5,4273f93f-91c9-497b-bfcc-bc09f1fc0fa4,direct,right,9b67d600-3cf7-4011-9e91-fa1429789341,9b6d0dde-bda2-4855-b976-97bb06ad0b15,a1008727-ad7a-4712-8683-63b454284270,NULL
6,e2a9852b-6943-4ff5-99aa-fba2196de28d,direct,right,6d17bcf3-27a4-4e7e-86d5-f2f3ca7745da,d2e70378-8311-4795-b5ee-60efe06cce83,1a18f33f-3416-4517-ac27-5bce071f49eb,NULL
7,8078b9e0-81b5-4353-8aa0-ab8ea119c41e,direct,right,d1328f17-53c1-4428-a87b-04382c029c82,d5b81633-e0c6-40d5-85e0-6afd7a4af0fe,5af57c61-1b5e-4938-b921-0461ef0466b1,NULL
8,23333bae-dde1-466a-9301-e3512e47bb98,direct,left,a3287caf-5c1d-4f9e-8323-4cc481b3c209,856a27fe-b80d-4dcb-ae10-e8128d7f4ae1,55d81152-c519-4c54-a381-3971dd2e1a4a,NULL
9,eb97b010-4507-4f48-8953-a0450a667477,direct,left,761b53ad-16fe-4608-bfe4-4cefe5c57cd7,4d2329e3-da06-4cd8-8880-f3438794fc14,8cf98472-4132-4c19-af3e-d59f039bc043,NULL
10,23a9e8e6-708a-4386-bdf7-6177a12e1ee0,direct,left,96a29295-99a2-4e1b-886d-8a0d00bfd387,722e838c-23e0-415f-8d24-7a5cda925692,a23558f9-2de4-4ec8-92d0-1cca57922c14,NULL
11,1bd02cdb-91aa-4dde-937c-ca0b403ee742,direct,right,7c475ceb-465f-4aef-91ef-8f7c08fd3e73,99615918-3fac-434c-b6cc-b2b7689e5151,6febb3a7-818e-4f07-b9ea-0ae56230307c,NULL
12,ff4b1043-6d0d-4e1a-903b-8a7a7c165e52,direct,right,1a36ecba-8ea2-47ba-88b2-33226065bb65,1ce24464-7f69-454e-91c4-ae54a45cd263,c0968595-d362-497d-b84b-932811831c8e,NULL
13,d935b282-91b3-4b76-9d57-12dadb2a5bee,direct,left,a9db422d-5c4c-4e5d-a060-aa2a32149cf4,e8937630-de53-4244-b665-47d83863046c,457997c3-60ce-4e3c-ad24-6aecba601a06,NULL
14,09f75285-007d-4ded-9f5b-a475a01fef15,direct,wye,2e8a5770-c2bf-40bc-8cb7-07531748edd5,35e61bd4-0441-4ad5-bca7-4c5379c5a264,82211bdb-88be-4864-9851-a06e159f77fd,NULL
15,bd3373c5-db70-4f79-ad3b-601376519d19,direct,right,d367e242-07d5-4011-8a46-0bc1ddc316c0,ccd54100-3f8e-4c56-a730-707cc16580d9,3e848520-65ea-4a37-8ec7-ac3011ef1f5b,NULL
16,3494400b-eab2-4088-bea1-882ee0f6645d,direct,wye,5c1ff835-74bd-43b5-b50b-be7d3a03475e,d1a27638-f1d4-4662-bc85-08edd546c231,d4af44d4-7b8e-4ad9-b058-91059918899e,NULL
17,5fd31fc7-d366-4e1d-8365-af1dbb976902,direct,left,0cc42c6a-3490-4b1e-8f28-dfb42cd1f933,db2d62c5-3e9c-4639-ab22-3dded211a3fa,fb3959ae-99a0-48dd-8716-6da4231c1d57,NULL
18,f6493ad7-c2cc-4948-a353-b5e56e30259b,direct,right,70aa0ccf-65b7-4419-92d1-56e71979e0bd,62680870-c010-4fa7-8f9f-fc420ba1c159,eed1beb6-f327-470e-b218-ca4db887c499,NULL
19,9bf5ffa7-9f91-42ec-add4-054d75154b09,direct,left,27bc7b72-ab1a-43e9-9a1d-4e5c17b2f983,5ec948b9-a35b-42c4-a71c-2574c67ebb6d,de2ef2a2-7ebe-4664-85b6-e7f9c5869831,NULL
20,9a345b91-da00-48e9-aa15-8e242ee8b8cf,direct,left,c20ce359-e226-47d3-a7d4-c5f0652c38d0,ae8bc57f-feb0-42b1-b68e-945531ae9c6b,9a1b58d4-9e0c-4d00-9b5a-f7839936f1e1,NULL
21,13aba230-0ee6-4ae0-ae4a-24d3bc01c3f6,direct,right,c20ce359-e226-47d3-a7d4-c5f0652c38d0,3b51a32e-275c-4e0d-80d3-2ac63ff5f363,3caa2b35-7fb1-4b48-971d-018ef233078f,NULL
