ts_id,track_id,max_speed,color,notes
1,134,90,1,NULL
10,134,90,0,NULL
100,129,50,0,NULL
1000,176,50,1,NULL
1001,176,50,0,NULL
1002,176,50,1,NULL
1003,176,50,0,NULL
1004,176,35,1,NULL
1005,176,35,0,NULL
1006,175,35,1,NULL
1007,175,35,0,NULL
1008,175,35,1,NULL
1009,175,65,0,NULL
101,129,90,1,NULL
1010,175,65,1,NULL
1011,175,65,0,NULL
1012,175,65,1,NULL
1013,175,65,0,NULL
1014,174,65,1,NULL
1015,174,65,0,NULL
1016,174,65,1,NULL
1017,174,65,0,NULL
1018,174,65,1,NULL
1019,174,65,0,NULL
102,129,90,0,NULL
1020,174,65,1,NULL
1021,174,65,0,NULL
1022,174,65,1,NULL
1023,174,65,0,NULL
1024,174,65,1,NULL
1025,174,65,0,NULL
1026,174,65,1,NULL
1027,174,65,0,NULL
1028,174,65,1,NULL
1029,174,65,0,NULL
103,129,90,1,NULL
1030,174,65,1,NULL
1031,173,65,0,NULL
1032,173,65,1,NULL
1033,173,65,0,NULL
1034,173,65,1,NULL
1035,173,65,0,NULL
1036,173,65,1,NULL
1037,173,65,0,NULL
1038,173,65,1,NULL
1039,172,65,0,NULL
104,128,90,0,NULL
1040,172,65,1,NULL
1041,172,65,0,NULL
1042,172,50,1,NULL
1043,172,50,0,NULL
1044,172,50,1,NULL
1045,172,50,0,NULL
1046,172,50,1,NULL
1047,171,45,0,NULL
1048,171,45,1,NULL
1049,170,45,0,NULL
105,128,90,1,NULL
1050,170,45,1,NULL
1051,170,45,0,NULL
1052,170,45,1,NULL
1053,170,45,0,NULL
1054,170,90,1,NULL
1055,170,90,0,NULL
1056,170,90,1,NULL
1057,170,90,0,NULL
1058,170,90,1,NULL
1059,170,90,0,NULL
106,128,90,0,NULL
1060,170,90,1,NULL
1061,170,90,0,NULL
1062,170,90,1,NULL
1063,169,90,0,NULL
1064,169,90,1,NULL
1065,169,90,0,NULL
1066,169,50,1,NULL
1067,169,50,0,NULL
1068,169,50,1,NULL
1069,169,50,0,NULL
107,128,90,1,NULL
1070,169,90,1,NULL
1071,169,90,0,NULL
1072,169,90,1,NULL
1073,169,90,0,NULL
1074,169,90,1,NULL
1075,169,90,0,NULL
1076,168,90,1,NULL
1077,168,90,0,NULL
1078,168,90,1,NULL
1079,168,90,0,NULL
108,128,90,0,NULL
1080,168,90,1,NULL
1081,168,90,0,NULL
1082,168,90,1,NULL
1083,168,50,0,NULL
1084,168,50,1,NULL
1085,168,50,0,NULL
1086,168,50,1,NULL
1087,168,60,0,NULL
1088,168,60,1,NULL
1089,168,60,0,NULL
109,128,90,1,NULL
1090,167,60,1,NULL
1091,167,60,0,NULL
1092,167,60,1,NULL
1093,167,60,0,NULL
1094,167,60,1,NULL
1095,167,60,0,NULL
1096,167,60,1,NULL
1097,167,60,0,NULL
1098,167,60,1,NULL
1099,167,60,0,NULL
11,134,90,1,NULL
110,128,90,0,NULL
1100,167,60,1,NULL
1101,167,60,0,NULL
1102,167,60,1,NULL
1103,167,60,0,NULL
1104,167,60,1,NULL
1105,167,60,0,NULL
1106,167,60,1,NULL
1107,137,60,0,NULL
1108,137,60,1,NULL
1109,137,60,0,NULL
111,128,90,1,NULL
1110,137,60,1,NULL
1111,137,60,0,NULL
1112,137,60,1,NULL
1113,137,60,0,NULL
1114,137,60,1,NULL
1115,137,60,0,NULL
1116,137,60,1,NULL
1117,136,60,0,NULL
1118,136,60,1,NULL
1119,136,50,0,NULL
112,128,90,0,NULL
1120,136,50,1,NULL
1121,136,50,0,NULL
1122,136,50,1,NULL
1123,136,25,0,NULL
1124,135,25,1,NULL
1125,135,25,0,NULL
1126,135,25,1,NULL
1127,135,25,0,NULL
1128,135,25,1,NULL
1129,135,25,0,NULL
113,128,90,1,NULL
1130,135,25,1,NULL
1131,135,25,0,NULL
1132,166,25,2,NULL
1133,165,25,1,NULL
1134,163,25,0,NULL
1135,163,25,1,NULL
1136,163,25,0,NULL
1137,163,25,1,NULL
1138,163,25,0,NULL
1139,163,25,2,NULL
114,128,90,0,NULL
1140,162,25,1,NULL
1141,161,25,2,NULL
1142,164,25,0,NULL
1143,164,25,2,NULL
1144,160,25,1,NULL
1145,160,25,2,NULL
1146,159,25,2,NULL
1147,158,25,1,NULL
1148,158,25,0,NULL
1149,157,25,1,NULL
115,128,90,1,NULL
1150,156,25,2,NULL
1151,155,25,2,NULL
1152,154,25,1,NULL
1153,152,25,2,NULL
1154,152,25,1,NULL
1155,152,25,0,NULL
1156,152,25,1,NULL
1157,152,25,0,NULL
1158,151,25,2,NULL
1159,150,25,1,NULL
116,128,90,0,NULL
1160,150,25,2,NULL
1161,153,25,2,NULL
1162,153,25,0,NULL
1163,149,25,1,NULL
1164,149,25,2,NULL
1165,148,25,3,NULL
1166,147,25,2,NULL
1167,146,25,3,NULL
1168,145,25,2,NULL
1169,144,25,2,NULL
117,128,90,1,NULL
1170,144,25,1,NULL
1171,144,25,0,NULL
1172,144,25,1,NULL
1173,144,25,0,NULL
1174,144,25,1,NULL
1175,144,25,0,NULL
1176,144,25,2,NULL
1177,143,25,3,NULL
1178,142,25,2,NULL
1179,141,25,3,NULL
118,128,90,0,NULL
1180,141,25,1,NULL
1181,140,25,0,NULL
1182,140,25,2,NULL
1183,139,25,2,NULL
1184,139,25,1,NULL
1185,138,25,0,NULL
1186,138,25,2,NULL
119,128,90,1,NULL
12,134,90,0,NULL
120,128,90,0,NULL
121,128,90,1,NULL
122,128,90,0,NULL
123,128,90,1,NULL
124,128,90,0,NULL
125,128,90,1,NULL
126,128,90,0,NULL
127,128,90,1,NULL
128,128,90,0,NULL
129,128,90,1,NULL
13,134,90,1,NULL
130,128,90,0,NULL
131,128,90,1,NULL
132,128,90,0,NULL
133,128,90,1,NULL
134,128,90,0,NULL
135,128,90,1,NULL
136,128,90,0,NULL
137,128,90,1,NULL
138,128,90,0,NULL
139,128,90,1,NULL
14,134,50,0,NULL
140,128,90,0,NULL
141,128,90,1,NULL
142,128,90,0,NULL
143,128,90,1,NULL
144,128,90,0,NULL
145,128,90,1,NULL
146,128,90,2,NULL
147,127,90,0,NULL
148,127,90,1,NULL
149,127,90,0,NULL
15,134,50,1,NULL
150,127,90,1,NULL
151,127,90,0,NULL
152,127,90,1,NULL
153,127,90,0,NULL
154,127,90,1,NULL
155,127,90,0,NULL
156,126,90,1,NULL
157,126,90,0,NULL
158,126,90,1,NULL
159,126,90,0,NULL
16,134,50,0,NULL
160,126,90,1,NULL
161,126,90,0,NULL
162,126,90,1,NULL
163,126,90,0,NULL
164,126,90,1,NULL
165,126,50,0,NULL
166,126,50,1,NULL
167,126,50,0,NULL
168,126,50,1,NULL
169,126,90,0,NULL
17,134,50,1,NULL
170,126,90,1,NULL
171,125,90,0,NULL
172,125,90,1,NULL
173,125,90,0,NULL
174,125,90,1,NULL
175,125,90,0,NULL
176,125,90,1,NULL
177,125,90,0,NULL
178,125,90,1,NULL
179,125,90,0,NULL
18,134,90,0,NULL
180,125,90,1,NULL
181,125,90,0,NULL
182,125,90,1,NULL
183,125,90,0,NULL
184,125,90,1,NULL
185,125,90,0,NULL
186,125,90,1,NULL
187,125,90,0,NULL
188,125,90,1,NULL
189,125,90,0,NULL
19,134,90,1,NULL
190,125,90,1,NULL
191,125,90,0,NULL
192,125,90,1,NULL
193,125,90,0,NULL
194,125,90,1,NULL
195,125,90,0,NULL
196,125,90,1,NULL
197,125,90,0,NULL
198,125,90,1,NULL
199,125,90,0,NULL
2,134,90,0,NULL
20,134,90,0,NULL
200,125,90,1,NULL
2001,210,90,0,NULL
2002,210,90,1,NULL
2003,210,50,0,NULL
2004,210,50,1,NULL
2005,210,50,0,NULL
2006,210,50,1,NULL
2007,210,75,0,NULL
2008,210,75,1,NULL
2009,250,75,0,NULL
201,125,90,0,NULL
2010,250,75,1,NULL
2011,250,75,0,NULL
2012,250,75,1,NULL
2013,250,75,0,NULL
2014,250,75,1,NULL
2015,250,75,0,NULL
2016,250,75,1,NULL
2017,250,75,0,NULL
2018,250,75,1,NULL
2019,250,75,0,NULL
202,125,90,1,NULL
2020,250,85,1,NULL
2021,250,85,0,NULL
2022,250,85,1,NULL
2023,250,85,0,NULL
2024,250,85,1,NULL
2025,250,85,0,NULL
2026,250,85,1,NULL
2027,250,85,0,NULL
2028,250,85,1,NULL
2029,250,85,0,NULL
203,125,90,0,NULL
2030,250,85,1,NULL
2031,250,85,0,NULL
2032,250,85,1,NULL
2033,250,85,0,NULL
2034,250,85,1,NULL
2035,250,85,0,NULL
2036,250,85,1,NULL
2037,250,85,0,NULL
2038,250,85,1,NULL
2039,250,85,0,NULL
204,125,90,1,NULL
2040,250,85,1,NULL
2041,209,85,0,NULL
2042,209,85,1,NULL
2043,209,85,0,NULL
2044,209,85,1,NULL
2045,209,85,0,NULL
2046,209,85,1,NULL
2047,209,85,0,NULL
2048,209,85,1,NULL
2049,209,85,0,NULL
205,125,90,0,NULL
2050,209,85,1,NULL
2051,209,85,0,NULL
2052,209,85,1,NULL
2053,209,85,0,NULL
2054,209,85,1,NULL
2055,209,85,0,NULL
2056,209,85,1,NULL
2057,209,85,0,NULL
2058,209,85,1,NULL
2059,209,85,0,NULL
206,125,90,1,NULL
2060,209,85,1,NULL
2061,209,85,0,NULL
2062,209,85,1,NULL
2063,209,85,0,NULL
2064,209,85,1,NULL
2065,209,85,0,NULL
2066,209,85,1,NULL
2067,209,85,0,NULL
2068,209,85,1,NULL
2069,209,85,0,NULL
207,125,90,0,NULL
2070,209,85,1,NULL
2071,209,85,0,NULL
2072,208,85,1,NULL
2073,208,85,0,NULL
2074,208,85,1,NULL
2075,208,85,0,NULL
2076,208,85,1,NULL
2077,208,85,0,NULL
2078,208,85,1,NULL
2079,208,85,0,NULL
208,125,90,1,NULL
2080,208,85,1,NULL
