track_id,vcc_id,loop_id,is_bidirectional,color,notes
101,1,1,f,0,NULL
102,1,1,f,1,NULL
103,1,1,f,0,NULL
104,1,1,f,1,NULL
105,1,1,f,0,NULL
106,1,1,f,1,NULL
107,1,1,f,0,NULL
108,1,3,f,1,NULL
109,1,3,f,0,NULL
110,1,3,f,1,NULL
111,1,3,f,0,NULL
112,1,3,f,1,NULL
113,1,3,f,0,NULL
114,1,5,f,1,NULL
115,1,5,f,0,NULL
116,1,5,f,1,NULL
117,1,5,f,0,NULL
118,1,7,f,1,NULL
119,1,7,f,0,NULL
120,1,7,f,1,NULL
121,1,9,f,0,NULL
122,1,9,f,1,NULL
123,1,9,f,0,NULL
124,1,9,f,1,NULL
125,1,9,f,0,NULL
126,1,9,f,1,NULL
127,1,11,f,0,NULL
128,1,11,f,1,NULL
129,1,11,f,0,NULL
130,1,13,f,1,NULL
131,1,13,f,0,NULL
132,1,13,f,1,NULL
133,1,13,f,0,NULL
134,1,13,f,1,NULL
135,1,2,f,1,NULL
136,1,2,f,0,NULL
137,1,2,f,1,NULL
138,1,1,f,2,NULL
139,1,2,f,3,NULL
140,1,2,f,2,NULL
141,1,1,f,3,NULL
142,1,1,f,2,NULL
143,1,2,f,3,NULL
144,1,4,f,2,NULL
145,1,4,f,2,NULL
146,1,3,f,3,NULL
147,1,3,f,2,NULL
148,1,4,f,3,NULL
149,1,7,f,2,NULL
150,1,8,f,2,NULL
151,1,7,f,3,NULL
152,1,7,f,0,NULL
153,1,7,f,2,NULL
154,1,7,f,3,NULL
155,1,8,f,2,NULL
156,1,12,f,0,NULL
157,1,11,f,3,NULL
158,1,11,f,2,NULL
159,1,12,f,1,NULL
160,1,13,f,2,NULL
161,1,14,f,2,NULL
162,1,13,f,1,NULL
163,1,13,f,0,NULL
164,1,13,f,2,NULL
165,1,13,f,1,NULL
166,1,14,f,2,NULL
167,1,2,f,0,NULL
168,1,2,f,1,NULL
169,1,2,f,0,NULL
170,1,2,f,1,NULL
171,1,4,f,3,NULL
172,1,4,f,0,NULL
173,1,4,f,1,NULL
174,1,4,f,0,NULL
175,1,4,f,1,NULL
176,1,4,f,0,NULL
177,1,4,f,1,NULL
178,1,6,f,0,NULL
179,1,6,f,1,NULL
